index,premise,hypothesis,label
44,하지만 나는 왠지 모를 흐뭇함이 느껴졌다.,다른 사람들과 다르게 나는 왠지 모를 흐뭇함이 느껴졌다.,neutral
45,올해는 상반기에 2회에 걸쳐 80여 명이 남도문화를 살펴봤다.,80여명이 상반기에 남도문화를 살펴봤다.,entailment
46,주인공 운혁과 젊은이들을 통해 그려진 시청자와 함께한 드라마.,드라마에 젊은이들이 출연한다.,entailment
47,"전남생활체육대축전은 25일부터 3일간 진남경기장 등에서 검도, 게이트볼, 궁도 등 22개 종목으로 치러진다.",전남생활체육대축전의 종목에는 태권도도 포함된다.,neutral
48,어릴때 키우던 강아지가 생각나 눈물날뻔했어요,어릴 때 키우던 고양이가 생각나 눈물날 뻔 했어요.,neutral
49,오랜만에 가슴 벅찬 감동을 느꼈습니다,가슴 벅찬 감동은 오랜만입니다.,entailment
50,"액션러닝, 실전 마케팅 및 세일즈체험, 국내외 선진지 답사 등 팀원 간 협력이 필요한 체험 중심으로 프로그램이 구성됐다.",액션러닝에서는 팀원들의 협력이 요구된다.,entailment
51,"한편 쇼헤이의 아내는 갑자기 귀가가 늦어지자, 바람을 피는 건 아닌지 걱정되어 탐정을 고용해 쇼헤이의 주변을 조사한다.",쇼헤이는 딱히 아내의 늦은 귀가를 걱정하지 않는다.,contradiction
52,눈이 와서 테라스를 사용 못한건 좀 아쉬워요.,아쉬운 점이 있었어요.,entailment
53,이 작품에는 가톨릭 사제들을 괴물로 묘사하는 기괴한 그림들이 실려 있었다.,이 기괴한 그림들은 악마를 숭배하는 자들의 작품이었다.,neutral
54,아트 슈피겔만은 아버지 블라덱 슈피겔만의 삶을 만화로 그리기 위해 몇 년간 수차례에 걸쳐 그와 녹취 인터뷰를 한다.,아트 슈피겔만은 몇 년간 아버지와 소통이 없었다.,contradiction
55,"주변에 다양한 체험을 할 수 있는 상하농원, 만돌 어촌갯벌체험마을, 선운산 도립공원 등이 있다.",선운산 도립공원에는 체험할 수 있는 것이 없다.,contradiction
56,"유진은 집안에서 반대하는 결혼을 하고 프랑스로 유학을 갔다가 남편을 잃었는데, 그런 남편과 철민은 너무나 닮았다.",유진의 남편과 철민은 형제이다.,neutral
57,데미 무어와 게리 올드먼의 연기는 좋네요,게리 올드먼의 연기력은 훌륭하네요.,entailment
58,최고다 이건 말로 할 수 없을 정도로 최고다,이것은 최악이다.,contradiction
59,각종 안전사고 및 재해사례를 통해 안전사고 예방의 중요성을 알리고 위급상황의 적절한 대처법을 안내했다.,안전사고 예방법은 생각보다 쉽다.,neutral
60,곳곳에 드러나는 색감과 아이템이 영국을 나타냈다.,영국을 드러내는 색감은 한 개 이상이다.,neutral
61,"각 분야별 전문가 의견수렴을 거쳐 보고서 내 연구의 신뢰도를 견고한 동의, 중간적 동의, 제한적 동의 3단계로 평가해 제시했다.",보고서 내 연구의 신뢰도를 3단계로 평가해 제시했다.,entailment
62,영화가 빨리 끝나는 순간만 기다렸다.,영화가 빨리 시작하기만을 기다렸다.,contradiction
63,"그 순간, 빌은 그의 환자이던 루 네이단슨의 부고 소식을 접하게 되며, 그 집에 찾아가게 된다.",빌은 우연히 루 네이단슨의 집에 찾아가게 된다.,contradiction
64,순천시는 2019년에도 소규모 공동주택에 대한 안전점검을 지속 추진하여 시민들의 안전을 보다 세밀하게 살필 예정이다.,순천시는 시민들의 안전을 대략적으로 점검할 예정이다.,contradiction
65,한편 이번에 공급을 시작하는 렘데시비르의 도입물량 등에 대해서는 길리어드사와의 계약조건에 따라 비공개하기로 했다.,렘데시비르의 도입물량은 오늘 온라인 상으로 공개한다.,contradiction
66,소청은 국가공무원법에 따라 설치된 소청심사위원회에 청구하고 고충 심사 중 재심 또는 소방령 이상의 고충은 중앙고충심사위원회에서 심사하는 형태가 된다.,소청심사는 6개월이 걸린다.,neutral
67,"반면 삼성그룹의 어두운 면이 없지 않아 있으며, 경영권 불법 승계 관련 의혹 등의 부정적인 견해도 있다.",삼성그룹의 경영권 불법 승계 관련 의혹 등의 부정적인 견해도 있다.,entailment
68,잔인한 특수효과 없이도 공포와 스릴러의 정도를 보여줍니다.,충분히 공포스럽지만 잔인한 특수효과가 없어 조금 아쉬웠습니다.,neutral
69,벅찬 무게를 짊어진 강하고도 안타까운 인력거 꾼의 삶을 편집해야만 한 아쉬운 영화,벅찬 무게를 짊어진 약하고 안타까운 인력거꾼의 삶을 무편집으로 내보낸 영화.,contradiction
70,일본의 한 언론은 21일 아베 신조 자민당 총재가 박근혜 대통령 당선자를 위해 특사를 파견하고 친서를 전달할 예정이라고 밝힌 바 있다.,아베 신조 자민당 총재가 박근혜 대통령 당선자를 위해 무엇을 할 것인지는 아직 미공개이다.,contradiction
71,"한편, 농림수산식품부는 민족고유의 명절 설을 앞두고 국민들께 축산농가에 방문을 자제해달라고 당부하였다.",농림수산식품부는 설 축산농가 방문을 독려하였다.,contradiction
72,"그는 매우 친절하고, 대응이 빠릅니다.",그는 빠르게 대응합니다.,entailment
73,"릴카는 게임, 축구, 불어 등 다양한 콘텐츠로 시청자들과 소통하고 있다.",릴카는 현재의 콘텐츠를 더 다양하게 확대할 계획이다.,neutral
74,국립공원 내 다중이용시설이 방역 및 운영 여건을 감안하여 23일부터 운영을 재개한다.,국립공원 내 다중이용시설은 23일 이후에도 운영이 불가능하다.,contradiction
75,"바흐의 무반주 소나타와 파르티타를 연주할 예정이며, 탁월한 테크닉과 그녀만의 충실한 해석으로 청중들에게 최고의 바흐를 선사할 것이다.",그녀는 완벽히 바흐의 해석을 따를 것이다.,contradiction
76,"특히 지난해 사망자 6명은 취학전 3명, 저학년 2명, 고학년 1명으로, 모두 보행중 사망한 것으로 조사되었다.",지난해 사망자 6명 중 절반은 취학 전 인원이다.,entailment
77,"다만 생계급여, 실업급여, 긴급 고용안정지원금 등 다른 법률에 의해 현재 지원을 받고 있는 경우에는 지원대상에서 제외된다.",다른 법률에 의해 현재 지원을 받고 있지 않는 경우에는 지원대상에 무조건 포함된다.,neutral
78,지난 1964년 1차 인민혁명당 사건에서 유죄 판결을 받았던 관련자들이 48년만의 재심에서 무죄를 선고받았다.,1차 인민혁명당 사건에서 유죄 판결을 받았던 관련자들을 48년만의 재심에서도 모두 유죄판결을 받았다.,contradiction
79,연구현장 의견을 반영해 운영될 수 있도록 자체 관리 체계 마련하고 소재 이용자 실비 부담 원칙을 통해 소재자원은행 운영의 안정성을 강화한다.,자체 관리 체계를 통해 연구현장 의견을 반영해 운영할 수 있도록 한다.,entailment
80,시는 용역 추진 과정에 여러 시민들의 의견을 담아내는 시민의 뜻이 곧 정책이 되는 종합발전계획을 구상하고 있다.,시는 시민들의 의견을 무시한 채 종합발전계획을 구상하고 있다.,contradiction
81,누군가에게 위로받고 싶은 분들께 추천하는 영화,위로받고 싶은 사람들에게 권하는 영화.,entailment
82,"또 모범음식점의 경우 1년 거치 2년 균등분할 상환조건으로 최대 3,000만원까지 운영자금을 추가로 융자받을 수 있다.",모든 음식점은 운영자금을 추가로 융자받을 수 있다.,contradiction
83,"한 시간에 60톤 정도의 물이 솟아올라 관광객에게도, 주민에게도 소중한 약수가 되고 있다.",한 시간에 50톤이 넘는 물이 솟아오른다.,contradiction
84,근처에 차로 15분 거리에 한인마트도 있어요,한인마트는 차로 15분 거리에 있어요.,entailment
85,윌리엄 레그런드는 황금으로 이루어진 풍뎅이에 물리고 보물을 찾고자 한다.,윌리엄 레그런드는 짚으로 이루어진 풍뎅이에 물리고 보물을 찾고자 한다.,contradiction
86,재기발랄한 재미와 곳곳에 비치된 날카로운 비판이 돋보이는 교훈적인 10점짜리 애니,애니는 사회 현상을 비판했다.,neutral
87,김래원과 김해숙의 연기만으로 넘어가기엔 영화가 너무 허술한데,김해숙은 감독으로만 참여한 영화.,contradiction
88,그린 마일이라 불리는 녹색 복도를 지나 사형수들을 전기의자가 놓여 있는 사형 집행장까지 안내하는 일이 그의 일이다.,그는 매일 사형수들을 사형 집행장으로 안내한다.,neutral
89,기대 이상으로 깔끔하고 머물기 좋은 숙소입니다.,다음에도 머물고 싶습니다.,neutral
90,북한의 미사일 공격으로부터 사드 포대를 방어하기 위한 패트리엇 미사일도 함께 반입했다.,북한의 미사일 공격은 아직 감행된 적 없다.,neutral
91,극장에서 보지 않은 것이 오히려 잘된건지도,극장이 아니라 집에서 본 것이 오히려 잘된건지도.,neutral
92,홍콩 영화가 다 그렇지 적당한 웃음과 적당한 액션,홍콩 영화는 다 적당히 흥행한다.,neutral
93,"하지만 조선민주주의인민공화국 사회의 폐쇄성과 장성택 전 부위원장이 이미 사형이 집행된 것을 고려하면, 진실은 영원히 밝혀지지 않을 것으로 보인다.",장성택은 사형되었다.,entailment
94,하지만 전체적으로 만족스러운 숙소였습니다,전체적으로 숙소가 불만족스럽습니다.,contradiction
95,강화도에서 태어나 줄곧 그곳에서 자라온 유경에게 호균 일행의 관광 안내 의뢰가 들어온다.,유경은 호균 일행의 관광 안내에 딱히 관심이 없다.,neutral
96,그러나 지금 분자기계를 보고 다양한 미래를 예측할 수 있다며 수상자의 공로를 치하했다.,상을 받은 사람의 공로를 치하하였다.,entailment
97,바디랭귀지로 이렇게 까지 소통이 되나 싶을거에요,바디랭귀지로 소통이 안돼요.,contradiction
98,대리기사를 폭행했다는 혐의를 받고 있는 단원고 유가족 3명에 대한 구속영장은 방금 전 기각되었습니다.,단원고 유가족 3명에 대한 구속영장이 조금 전 기각되었습니다.,entailment
99,왕족의 자손인 박 첨지는 자신의 조상이 임금이라는 것을 자랑으로 여기고 상투를 쓰고 왕릉을 돌보는 것을 인생의 낙으로 삼는다.,박 첨지는 왕릉을 돌보는 것을 수치스럽게 여긴다.,contradiction
100,최근 리버풀은 무패 행진을 이어가며 훈련장에서도 좋은 분위기를 보여주고 있다.,최근 리버풀은 지지 않고 있다.,entailment
101,홍경인의 엄석대 연기가 인상 깊었다.,홍경인은 어떤 연기를 하든 인상 깊다.,neutral
102,매일 밤 마리옹은 남편을 찾아가 배우들에 대해 이야기한다.,남편은 마리옹의 이야기에 관심을 두지 않는다.,neutral
103,최근 편의시설을 확충했으며 캠핑하기에도 좋다.,규모가 큰 오토캠핑장이다.,neutral
104,스키르니르는 주인의 분노를 두려워하면서도 명령받은 바를 수행한다.,주인의 분노는 스키르니르에게 두려움의 대상이다.,entailment
105,오늘 오후 2시 34분 경부터 오후 4시 42분 경까지 연평도에 조선민주주의인민공화국에서 쏜 수십 발의 포탄이 떨어졌다.,연평도의 주민 수십명이 포탄에 부상을 당했다.,neutral
106,"2016년 상주영덕고속도로의 개통으로 서울에서도, 대전에서도, 부산에서도 편하게 청송으로 찾아올 수 있다.",상주영덕고속도로는 2016년 개통되었다.,entailment
107,이로써 투표 자체가 불가능하다는 것이 카탈루냐에 파견된 최고급 관료인 엔릭 미요의 주장이다.,카탈루냐에 파견된 엔릭 미요의 국적은 스페인이다.,neutral
108,"관련 법 검토와 유관기관에 대한 자문 결과, 뉴닉의 사례는 적용되는 법에 따라 달라질 수 있다.",뉴닉은 결국 정보통신법 위반으로 벌금을 냈다.,neutral
109,국공립 유치원은 계획보다 빠르게 확충되고 있습니다.,국공립 유치원은 계획보다 더디게 확충되고 있습니다.,contradiction
110,"위상이란, 진동이나 파동과 같이 주기적으로 반복되는 현상에 대해 어떤 시각 또는 어떤 장소에서의 변화의 국면을 가리키는 물리학 용어이다.",위상이라는 단어를 사용하는 학문은 수학뿐이다.,contradiction
111,28번 트램 출발지가 골목 바로 아래에 있어요.,근처에서 28번 트램을 탈 수 있어요.,entailment
112,한탄강과 관련된 놀이와 체험은 물론 자유학기제와 연계한 교육 프로그램도 운영하고 있다.,한탄강 관련 놀이 및 체험을 진행한다.,entailment
113,화장실수압도 괜찮고 뜨거운물도 잘나와요 그리고 에어컨도 새로 들여놓으셨더라구요,에어컨은 이전 것과 동일해요.,contradiction
114,이런 영화를 앞으로 또 볼 수 있을까,이런 영화를 봤다.,entailment
115,식약청은 해당 제품의 유통 판매를 잠정 중단하고 시중에 유통되고 있는 제품들을 수거해 검사를 실시하였다.,제품의 검사 결과에서 독극물이 함유된 성분이 나왔다.,neutral
116,항구마을에 사는 베리트는 해외에서 갓 돌아온 선원 고스타와 관계를 시작한다.,베리트는 산간마을에 산다.,contradiction
117,"여당의 의원들은 모두 개인비리로, 야당의 의원들은 모두 입법비리로 검찰의 수사를 받고 있습니다.",모든 여당의 의원들은 입법비리 수사만 받고 있다.,contradiction
118,마을공방 육성사업은 지역 내 유휴 공공시설을 신축 또는 리모델링해 마을 공동체 회복을 위한 거점공간으로 조성하는 사업이다.,신축할 공공시설은 3개로 예정되어 있다.,neutral
119,"오전 10시경 일어난 사고였기에 출근길만큼 큰 불편을 겪지는 않았지만, 회사를 불문한 연이은 탈선 사고에 시민들이 두려움을 느끼는 것은 사실이다.",시민들은 오전 10시쯤 일어난 사고로 인해 두려움을 느꼈다.,entailment
120,"또한 미래 모빌리티 보급을 확대하기 위해 총 20조 3000억 원을 집중 투자하고, 약 15만 1000명의 일자리를 창출한다.",총 20조 3000억원을 미래 모빌리티 보급을 확대하기 위해 집중 투자한다.,entailment
121,이게 다른 엑스맨 영화보다 훨씬 재밌다,이 영화도 엑스맨 영화다.,entailment
122,"생일파티의 요리를 맡은 프랑스 음식점의 견습생으로 배에 오른 카타세료는 미와와 마주치고, 미와는 이내 베일에 싸인 듯한 매력을 가진 료에게 빠져들게 된다.",카타세료는 음식점의 견습생이다.,entailment
123,이를 위한 첫걸음으로 지난달 28일 정순주 부시장 주재로 65개 부서 실과소동장이 참석해 부서별 타깃기업 선정 및 활동계획 등을 점검했다.,부서별 타깃기업 선정 및 활동계획은 지난달 28일 정순주 부시장 주재로 점검되었다.,entailment
124,이런 영화는 내 취향이 아닌가 보다.,이런 영화는 내 취향인가 보다.,contradiction
125,대한민국 금융감독원은 2020년 05월 21일 공인인증서에 개편이 이뤄진다고 발표했다.,금융감독원은 2020년 5월 21일 발표를 했다.,entailment
126,제3기 소송지원변호인단에는 대한변호사협회 등의 추천을 받은 변호사 20명이 참여했다.,제3기 소송지원변호인단에는 변호사 10명이 참여했다.,contradiction
127,두 사람은 이날 아침 인근 식당에서 술에 취해 주먹을 휘두르며 싸운 것으로 알려졌다.,두 사람은 취한 상태가 아니었다.,contradiction
128,갑과을 코너 뺨때리는 장면 너무하네요,빰을 때리는 장면이 갑과을 코너에 나와요.,entailment
129,아름답고 거대한 대자연 앞에 무의미한 인종갈등,대자연 앞에 의미없는 인종갈등.,entailment
130,공각기동대의 새로운 면과 새로운 스토리를 볼 수 있다는 것이 매우 기쁘다,공각기동대의 새로운 면들이 흥미롭다.,neutral
131,민간 직업훈련을 위해 직업훈련기관 대상 온라인 훈련 전환 컨설팅도 제공하기로 했다.,민간 직업훈련을 위해 따로 제공되는 것은 없다.,contradiction
132,1편과는 다른 볼거리를 보여준다 하지만 전작의 엄청난 충격은 아니었다,전작에서 줄거리가 살짝 바뀌었다.,neutral
133,"침대도 편하고, 주방과 욕실은 완벽합니다.",주방은 완벽합니다.,entailment
134,반전을 기달리기엔 몰입도가 너무 떨어진다,몰입도가 높아 반전이 기다려진다.,contradiction
135,군이 종합적으로 부실하게 사건을 수사한 것이 아니냐는 주장이 제기될 수 있는 지점입니다.,수사과정에서 은폐한 사실이 있다는 주장만 제기될 수 있는 지점이다.,neutral
136,지하철역과의 거리도 가까워 이동하기 편합니다.,지하철역에서 도보로 5분거리에 있습니다.,neutral
137,전기제품을 쓸때 신경써야할 부분 입니다.,전기제품을 사용할 때 신경써야하는 부분입니다.,entailment
138,이 시나리오를 보고도 제작할려고 마음먹은 관계자분들께 경의를 표함,관계자들은 이 시나리오를 보고선 제작하려는 마음을 접었다.,contradiction
139,"병고에 시달려 학업까지 중단했던 정희는 재수의 우정어린 헌신과 스스로의 의지로 완쾌, 복학한다.",정희는 복학하지 못한다.,contradiction
140,구독자가 관심있는 유용한 정보와 상업적 정보를 동시에 전달하는 뉴닉의 브랜디드 콘텐츠가 한편으론 광고라는 사실을 축소하는 것처럼 비춰질 수 있기 때문이다.,구독자가 관심있는 유용한 정보와 상업적 정보를 동시에 전달하는 뉴닉의 브랜디드 콘텐츠는 광고이다.,entailment
141,2명이서 간단히 지내기엔 좋은곳이라 생각합니다.,혼자서도 간단히 지내기 좋습니다.,neutral
142,디지털 경제로의 선제적 전환을 시도하는 것은 중요한 시대적 과제입니다.,디지털 경제로의 선제적 전환은 가장 우선적으로 시도되어야 합니다.,neutral
143,"보조금 지급단가는 실제 수소 가격의 인하 추이, 택시와 화물차 상용화 등을 고려해 2년마다 주기적으로 조정할 계획이다.",다음 보조금 지급단가 조정일에는 지급단가를 낮출 계획이다.,neutral
144,말로 할수가 없음 무조건 보셈 2번보셈 아니 3번보셈 백투더퓨쳐 시리즈는 무조건 3번이상 보셈,백투더퓨처 시리즈는 반복해서 볼 가치가 있음.,entailment
145,1편과 2편을 분리하고 단품으로 관람하는게 포인트,1편과 2편을 통합하여 합본으로 관람하는게 포인트.,contradiction
146,가족단위 여행객이 머물기에 매우 좋습니다.,많은 가족단위 여행객들이 찾습니다.,neutral
147,101빌딩 근처에 나름 즐길거리가 많습니다.,101빌딩 근처에서 즐길거리 찾기는 어렵습니다.,contradiction
148,이는 2009년에 수립된 국제과학비즈니스벨트 특별종합계획에서 제안한 3조5천억원보다 1조7천억원 증액된 규모다.,이는 2009년에 수립된 국제과학비즈니스벨트 특별종합계획에서 제안한 3조 5천억원보다 1조7천억원 감액된 규모다.,contradiction
149,특히 어머니가 구웠다는 빵도 참 맛났어요.,실제로 어머니가 빵을 굽진 않았어요.,contradiction
150,"시나리오 작가인 마크 벨리슨은 시나리오가 재미없다는 이유로 회사에서 해고를 당하고, 유명한 동료인 브래드 케슬러에게 무능력한 낙오자 취급을 받는다.",마크 벨리슨은 회사에서 해고를 당한 후 시나리오 작가일을 그만두었다.,neutral
151,가을엔 노랑과 빨강 단풍이 절경인 단풍정원과 다양한 수생식물이 서식하는 생태정원이 제격이다.,생태정원에 서식하는 수생식물은 종류가 다양하다.,entailment
152,인터뷰 자리에도 경호원 2명과 경찰관 1명이 동행했다.,인터뷰 자리에도 동행자가 있었다.,entailment
153,젊은 남자 비센테는 어머니의 양장점에서 일하고 있다.,비센테 어머니의 양장점은 지역에서 유명하다.,neutral
154,호스트도 메시지에 바로바로 응답해줘요.,호스트가 메시지로 응답해줘요.,entailment
155,누구나 한번쯤 해봄직한 상상속의 일들을 공감해보는 즐거움 만끽,상상속의 일들을 공감해보는 것은 불가능하다.,contradiction
156,"충전소 1기당 사업비는 일반 30억원, 버스 60억원이다.",사업비는 충전소 1기당 일반 60억원이고 버스 30억원이다.,contradiction
157,"국방부 발표에 앞서서, 여러 언론을 통해 사드가 성주에 배치될 것이라는 뉴스가 보도되었다.",사드 배치 뉴스는 국방부 발표보다 앞서 보도되었다.,entailment
158,브루스 윌리스가 극적인 연기에도 능하다는걸 알게 된 것 외엔 할말없는 영화,영화를 보기 전엔 브루스 윌리스가 극적인 연기에도 능하다는 사실을 몰랐다.,entailment
159,아름다운 풍경과 소녀들의 아름다운 우정 이야기가 잘 버무려진 역시 지브리라는 말이 나오는 애니.,소녀들의 아름다운 우정이 잔잔한 여운을 주는 애니.,neutral
160,도심으로 한번에 가는 버스가 있는것 같다.,도심으로 한번에 가는 대중교통은 없는것 같다.,contradiction
161,여러 명소와 가까워 도보 이동이 용이합니다.,"걸어서 여러 명소를 다닐 수 있습니다,.",entailment
162,행안부는 결과물 발표 후 전문심사위원 및 참가자 상호심사를 거쳐 31일수상작을 선정하며 종목별 행안부장관상을 시상할 계획이다.,행안부는 31일 오후에 수상작을 선정한다.,neutral
163,"현직 도지사로서 업무 공백의 우려가 크고, 지위와 신분이 확실한 만큼 도주 우려도 없다고 주장했다.",현직 도지사로서 도주 우려가 크다고 주장했다.,contradiction
164,"그는 가족들을 구하기 위해 집으로 달려갔지만, 그의 부인과 아들은 병사들에 의해 이미 사망해 있었다.",그는 집과 멀리 떨어진 곳에 있었다.,neutral
